Space,Floor,Area,Headcount,Notes
Lobby / admissions,1,1800 sf,4,daylight priority
Gallery (permanent) A,1,2600 sf,,
Gallery (permanent) B,2,2400 sf,,
Gallery (temporary),2,3200 sf,,loan shows - climate spec??
Education studio,1,900 sf,24,"messy art, sink required"
Shop,1,600 sf,2,"an actual store, not a cart"
Gallery (temporary),2,3200 sf,,loan shows - climate spec??
Auditorium / events,C,2200 sf,120,gala venue
Art storage,C,3400 sf,,crates double-stacked today
Conservation lab,C,40 sm,2,north light if possible
Registrar office,C,12 sm,1,
Crate room / staging,C,800 sf,,next to freight elev
Rooftop pavilion,R,TBD,,pending zoning - director's priority
